population,n_sequences,aromatic_fraction_interface,aromatic_fraction_exposed,aromatic_fraction_overall
WT,1,0.25,0.0,0.06666666666666667
library_round1,4771,0.3189553079926167,0.10098766128756817,0.15911236707558113
training_set,26330,0.41566946743769545,0.09403332898623862,0.17980296590662712
BLI_validated,23,0.47826086956521735,0.09881422924901186,0.2
designed_all_campaigns,900,0.31472222222222224,0.1387878787878788,0.1857037037037037
