population,n_sequences,aromatic_fraction_near_hotspot,aromatic_fraction_far_from_hotspot,ratio
WT,1,0.0,0.125,0.0
library_round1,4771,0.12480719104479701,0.1891293961025172,0.6599037146882526
training_set,26330,0.12228350455756432,0.23013249458705706,0.5313613133033916
BLI_validated,23,0.14906832298136646,0.24456521739130435,0.6095238095238096
designed_all_campaigns,900,0.16412698412698412,0.20458333333333334,0.8022500242459508
designed_has_energy_False,175,0.10204081632653061,0.22857142857142856,0.44642857142857145
designed_has_energy_True,725,0.17911330049261084,0.19879310344827586,0.9010035931111386
designed_success_iptm_ge_0.5,51,0.24929971988795518,0.18382352941176472,1.3561904761904762
designed_failure_iptm_lt_0.5,849,0.15901060070671377,0.2058303886925795,0.7725321888412017
