protocol,n_blocks,w_E_stage3,gap_max_median,gap_max_q25,gap_max_q75,gap_integral_median,final_iptm_median
gen_energy_A,28,0.05,15.292988038972332,13.055924479316865,16.51570853919087,280.2077792763308,0.34999999999999987
opt_anneal_energy_B,65,0.2,5.714811192010647,4.584303697195464,7.377040432268564,172.19162037553622,0.1733333333333333
gen_energy_C,46,0.5,29.491395728091828,24.0412478373038,35.34392764245814,772.9294112909388,0.35783333333333334
opt_anneal_energy_C,106,0.5,11.978110130446456,10.417674467581858,16.3672096733465,342.00246861156756,0.22950000000000004
